2024-08-27 17:16:18 UTC | PROCESS | INFO | (pkg/util/log/log.go:831 in func1) | running on platform: ubuntu
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:430 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=container-lifecycle mainHosts=contlcycle-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=5000000 batch_max_size=1000, input_chan_size=100
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:430 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=container-images mainHosts=contimage-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=5000000 batch_max_size=1000, input_chan_size=100
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:430 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=container-sbom mainHosts=sbom-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=5000000 batch_max_size=1000, input_chan_size=100
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:430 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=service-discovery mainHosts=instrumentation-telemetry-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=5000000 batch_max_size=1000, input_chan_size=100
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (comp/networkpath/npcollector/npcollectorimpl/npcollectorcomp.go:64 in newNpCollector) | Network Path Collector disabled
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (command/command.go:143 in SetHostMountEnv) | Set `HOST_SYS` environment variable
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (pkg/util/grpc/agent_client.go:43 in getGRPCClientConn) | attempting to create grpc agent client connection to: localhost:5001
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/grpc/agent_client.go:64 in GetDDAgentClient) | grpc agent client created
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/process/checks/host_info.go:164 in getHostnameFromGRPC) | retrieved hostname:local-worker2-ccdaniele-kind from datadog agent via grpc
2024-08-27 17:16:20 UTC | PROCESS | INFO | (pkg/process/metadata/workloadmeta/extractor.go:71 in NewWorkloadMetaExtractor) | Instantiating a new WorkloadMetaExtractor
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (comp/process/expvars/expvarsimpl/expvars.go:110 in InitProcessStatus) | Docker is not available on this host
2024-08-27 17:16:20 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:242 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2024-08-27 17:16:20 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:242 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2024-08-27 17:16:20 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:242 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2024-08-27 17:16:20 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:242 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/process/runner/submitter.go:105 in NewSubmitter) | Creating process check queue with max_size=256 and max_weight=60000000
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/process/runner/submitter.go:114 in NewSubmitter) | Creating rt process check queue with max_size=5 and max_weight=60000000
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/process/runner/submitter.go:117 in NewSubmitter) | Creating connections queue with max_size=256 and max_weight=60000000
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/process/runner/submitter.go:120 in NewSubmitter) | Creating event check queue with max_size=256 and max_weight=60000000
2024-08-27 17:16:20 UTC | PROCESS | INFO | (comp/process/agent/agent_linux.go:40 in Enabled) | Network Performance Monitoring is not supported in the core agent. The process-agent will be enabled as a standalone agent
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'configuration' provider
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'configuration' provider: hostname is empty
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'hostnameFile' provider
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'hostnameFile' provider: 'hostname_file' configuration is not enabled
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'fargate' provider
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'fargate' provider: agent is not runnning on Fargate
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'gce' provider
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/config/setup/config.go:2230 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for GCP Cloud Provider
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/http/transport.go:144 in 1) | URL 'http://169.254.169.254/computeMetadata/v1/instance/hostname' matches no_proxy list item '169.254.169.254': not using any proxy
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'gce' provider: unable to retrieve hostname from GCE: GCE metadata API error: Get "http://169.254.169.254/computeMetadata/v1/instance/hostname": dial tcp 169.254.169.254:80: connect: connection refused
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'azure' provider
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'azure' provider: azure_hostname_style is set to 'os'
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'fqdn' provider
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'fqdn' provider: FQDN hostname is not usable
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'container' provider
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/container.go:34 in callContainerProvider) | GetHostname trying provider 'kube_apiserver' ...
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/container.go:37 in callContainerProvider) | error calling provider 'kube_apiserver': kubeapiserver hostname provider is not enabled
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/container.go:34 in callContainerProvider) | GetHostname trying provider 'kubelet' ...
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/kubernetes/kubelet/kubelet_hosts.go:55 in getKubeletHostFromConfig) | Trying to parse kubernetes_kubelet_host: 172.18.0.4
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/kubernetes/kubelet/kubelet_hosts.go:70 in getKubeletHostFromConfig) | Parsed kubernetes_kubelet_host: 172.18.0.4 is an address: 172.18.0.4, cached, trying to resolve it to hostname
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/kubernetes/kubelet/kubelet_hosts.go:76 in getKubeletHostFromConfig) | kubernetes_kubelet_host: 172.18.0.4 is resolved to: [local-worker2.kind.]
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/kubernetes/kubelet/kubelet_hosts.go:34 in getPotentialKubeletHosts) | Got potential kubelet connection info from config, ips: [172.18.0.4], hostnames: [local-worker2.kind.]
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/docker/global.go:41 in GetDockerUtilWithRetrier) | Docker init error: temporary failure in dockerutil, will retry later: Cannot connect to the Docker daemon at unix:///var/run/docker.sock. Is the docker daemon running?
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/kubernetes/kubelet/kubelet_hosts.go:89 in getKubeletHostFromDocker) | unable to get hostname from docker, make sure to set the kubernetes_kubelet_host option: temporary failure in dockerutil, will retry later: Cannot connect to the Docker daemon at unix:///var/run/docker.sock. Is the docker daemon running?
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/kubernetes/kubelet/kubelet_hosts.go:40 in getPotentialKubeletHosts) | Got potential kubelet connection info from docker, ips: [], hostnames: []
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/kubernetes/kubelet/kubelet_client.go:265 in checkKubeletConnection) | Trying to reach Kubelet with scheme: https
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/kubernetes/kubelet/kubelet_client.go:276 in checkKubeletConnection) | Trying to reach Kubelet at: 172.18.0.4:10250
2024-08-27 17:16:20 UTC | PROCESS | INFO | (pkg/util/kubernetes/kubelet/kubelet_client.go:289 in checkKubeletConnection) | Successful configuration found for Kubelet, using URL: https://172.18.0.4:10250
2024-08-27 17:16:20 UTC | PROCESS | INFO | (pkg/util/kubernetes/clustername/clustername.go:78 in getClusterName) | Got cluster name ccdaniele-kind from config
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/clusteragent/clusteragent.go:253 in GetClusterAgentEndpoint) | Identified service for the Datadog Cluster Agent: kind-datadog-cluster-agent
2024-08-27 17:16:20 UTC | PROCESS | INFO | (pkg/api/security/security.go:194 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/clusteragent/clusteragent.go:114 in GetClusterAgentClient) | Cluster Agent init error: temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/kubernetes/clustername/clustername.go:121 in getClusterName) | Unable to auto discover the cluster name from node label : temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:165 in GetWithProvider) | hostname provider 'container' successfully found hostname 'local-worker2-ccdaniele-kind'
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'os' provider
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'os' provider: OS hostname is not usable
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'aws' provider
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/common.go:131 in fromEC2) | Detected a default EC2 hostname: false
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/common.go:132 in fromEC2) | ec2_prioritize_instance_id_as_hostname is set to false
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'aws' provider: not retrieving hostname from AWS: the host is not an ECS instance and other providers already retrieve non-default hostnames
2024-08-27 17:16:20 UTC | PROCESS | INFO | (comp/process/agent/agent_linux.go:40 in Enabled) | Network Performance Monitoring is not supported in the core agent. The process-agent will be enabled as a standalone agent
2024-08-27 17:16:20 UTC | PROCESS | INFO | (comp/process/agent/agent_linux.go:40 in Enabled) | Network Performance Monitoring is not supported in the core agent. The process-agent will be enabled as a standalone agent
2024-08-27 17:16:20 UTC | PROCESS | INFO | (comp/process/apiserver/apiserver.go:47 in newApiServer) | API server listening on localhost:6162
2024-08-27 17:16:20 UTC | PROCESS | INFO | (comp/core/tagger/taggerimpl/tagger.go:160 in newTaggerClient) | TaggerClient is created, defaultTagger type:  *local.Tagger
2024-08-27 17:16:20 UTC | PROCESS | INFO | (comp/core/workloadmeta/store.go:99 in start) | workloadmeta store initialized successfully
2024-08-27 17:16:20 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:391 in Start) | Forwarder started, sending to 1 endpoint(s) with 1 worker(s) each: "https://process-events.datadoghq.com" (1 api key(s))
2024-08-27 17:16:20 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:391 in Start) | Forwarder started, sending to 1 endpoint(s) with 1 worker(s) each: "https://process.datadoghq.com" (1 api key(s))
2024-08-27 17:16:20 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:391 in Start) | Forwarder started, sending to 1 endpoint(s) with 1 worker(s) each: "https://process.datadoghq.com" (1 api key(s))
2024-08-27 17:16:20 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:391 in Start) | Forwarder started, sending to 1 endpoint(s) with 1 worker(s) each: "https://process.datadoghq.com" (1 api key(s))
2024-08-27 17:16:20 UTC | PROCESS | INFO | (pkg/process/runner/submitter.go:182 in printStartMessage) | Starting CheckSubmitter for host=local-worker2-ccdaniele-kind, endpoints=[https://process.datadoghq.com], events endpoints=[https://process-events.datadoghq.com]
2024-08-27 17:16:20 UTC | PROCESS | INFO | (pkg/process/runner/runner.go:286 in Run) | Starting process-agent with enabled checks=[connections]
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (pkg/util/clusteragent/clusteragent.go:114 in GetClusterAgentClient) | Cluster Agent init error: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2024-08-27 17:16:20 UTC | PROCESS | ERROR | (comp/core/workloadmeta/collectors/internal/kubemetadata/kubemetadata.go:88 in Start) | Could not initialise the communication with the cluster agent: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2024-08-27 17:16:20 UTC | PROCESS | DEBUG | (comp/core/workloadmeta/store.go:563 in startCandidates) | workloadmeta collector "kube_metadata" could not start, but will retry. error: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2024-08-27 17:16:20 UTC | PROCESS | INFO | (pkg/util/containerd/containerd_util.go:177 in connect) | Connected to containerd - Version v1.7.15/***********************************e31f1
2024-08-27 17:16:21 UTC | PROCESS | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/containerd.go:302 in notifyInitialImageEvents) | 30 initial image events sent for namespace k8s.io. total number of images reference is 87
2024-08-27 17:16:21 UTC | PROCESS | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task 0ab011e9f4c2afdaff2812162f8c32968a66ef52ebec40c198ac04d9e4447f3b not found: not found
2024-08-27 17:16:21 UTC | PROCESS | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task 5ebb4ed14cd425a1fa5029daad82f4722bbe4d446c7b4ecaaf379173f46c976e not found: not found
2024-08-27 17:16:21 UTC | PROCESS | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task 6936ab8bb2a8498a0d941fd65820ed222dcfe94cca2b84e47014bb6755f12aa6 not found: not found
2024-08-27 17:16:21 UTC | PROCESS | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task 6ad2903dedea8e002e04c28b39a561c1826201755ac181367f6da8ae60c4b1d9 not found: not found
2024-08-27 17:16:21 UTC | PROCESS | DEBUG | (comp/core/workloadmeta/collectors/util/image_metadata_util.go:38 in ExtractRepoDigestFromImage) | cannot get matched registry in repodigests for image sha256:4740c1948d3fceb8d7dacc63033aa6299d80794ee4f4811539ec1081d9211f3d
2024-08-27 17:16:21 UTC | PROCESS | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:67 in buildWorkloadMetaContainer) | cannot get repo digest for image sha256:4740c1948d3fceb8d7dacc63033aa6299d80794ee4f4811539ec1081d9211f3d from workloadmeta store
2024-08-27 17:16:21 UTC | PROCESS | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task a1d669bc47961c47ad9fb961489252d2b6dfdd19ee0a932e2cb887e6fb937b03 not found: not found
2024-08-27 17:16:21 UTC | PROCESS | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task a2785492aa383086ed217dff7feed669febb205118bb7b15d724e6bf27e670ca not found: not found
2024-08-27 17:16:21 UTC | PROCESS | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task d9df99fdae999142aa1d2146a6f6d0e8ae45e811ffd6c78deae71a6fa7fc62cc not found: not found
2024-08-27 17:16:21 UTC | PROCESS | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task f03d7c9baee4dca5a7ffe136e647367cfec023024ccaca6dfe3e16b4d04c6c0d not found: not found
2024-08-27 17:16:21 UTC | PROCESS | INFO | (comp/core/workloadmeta/store.go:569 in startCandidates) | workloadmeta collector "containerd" started successfully
2024-08-27 17:16:21 UTC | PROCESS | INFO | (comp/core/workloadmeta/store.go:572 in startCandidates) | workloadmeta collector "ecs_fargate" could not start. error: component workloadmeta-ecs_fargate is disabled: Agent is not running on ECS Fargate
2024-08-27 17:16:21 UTC | PROCESS | INFO | (comp/core/workloadmeta/store.go:572 in startCandidates) | workloadmeta collector "ecs" could not start. error: component workloadmeta-ecs is disabled: Agent is not running on ECS EC2
2024-08-27 17:16:21 UTC | PROCESS | INFO | (comp/core/workloadmeta/store.go:572 in startCandidates) | workloadmeta collector "cloudfoundry-vm" could not start. error: component workloadmeta-cloudfoundry-vm is disabled: Agent is not running on CloudFoundry
2024-08-27 17:16:21 UTC | PROCESS | INFO | (comp/core/workloadmeta/store.go:572 in startCandidates) | workloadmeta collector "podman" could not start. error: component workloadmeta-podman is disabled: Podman not detected
2024-08-27 17:16:21 UTC | PROCESS | INFO | (comp/core/workloadmeta/store.go:569 in startCandidates) | workloadmeta collector "kubelet" started successfully
2024-08-27 17:16:21 UTC | PROCESS | INFO | (comp/core/workloadmeta/store.go:569 in startCandidates) | workloadmeta collector "host" started successfully
2024-08-27 17:16:21 UTC | PROCESS | INFO | (comp/core/workloadmeta/store.go:572 in startCandidates) | workloadmeta collector "cloudfoundry-container" could not start. error: component workloadmeta-cloudfoundry-container is disabled: Agent is not running on CloudFoundry
2024-08-27 17:16:21 UTC | PROCESS | INFO | (comp/core/workloadmeta/store.go:572 in startCandidates) | workloadmeta collector "docker" could not start. error: component workloadmeta-docker is disabled: Agent is not running on Docker
2024-08-27 17:16:22 UTC | PROCESS | DEBUG | (pkg/util/clusteragent/clusteragent.go:253 in GetClusterAgentEndpoint) | Identified service for the Datadog Cluster Agent: kind-datadog-cluster-agent
2024-08-27 17:16:22 UTC | PROCESS | INFO | (pkg/api/security/security.go:194 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2024-08-27 17:16:22 UTC | PROCESS | DEBUG | (pkg/util/clusteragent/clusteragent.go:114 in GetClusterAgentClient) | Cluster Agent init error: temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
2024-08-27 17:16:22 UTC | PROCESS | ERROR | (comp/core/workloadmeta/collectors/internal/kubemetadata/kubemetadata.go:88 in Start) | Could not initialise the communication with the cluster agent: temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
2024-08-27 17:16:22 UTC | PROCESS | DEBUG | (comp/core/workloadmeta/store.go:563 in startCandidates) | workloadmeta collector "kube_metadata" could not start, but will retry. error: temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
