2024-08-19 15:35:57 UTC | CLUSTER | INFO | (pkg/util/log/log.go:826 in func1) | Starting to load the configuration
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/util/kubernetes/apiserver/leaderelection/leaderelection.go:230 in runLeaderElection) | Starting leader election process for "agent-kind-datadog-cluster-agent-75dd97446-nh2pf"...
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (client-go@v0.28.6/tools/leaderelection/leaderelection.go:250 in acquire) | attempting to acquire leader lease default/agent-kind-datadog-leader-election...
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/collector/scheduler.go:191 in getChecks) | Loading check instance for check 'orchestrator' using default loaders
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/util/kubernetes/apiserver/leaderelection/leaderelection_engine.go:152 in func1) | New leader "agent-kind-datadog-cluster-agent-668c55cbfc-v2mnv"
2024-08-19 15:35:58 UTC | CLUSTER | ERROR | (pkg/clusteragent/admission/controllers/webhook/controller_base.go:107 in mutatingWebhooks) | failed to register CWS Instrumentation webhook: can't initialize CWS Instrumentation in remote_copy mode without providing a service account name in config (cluster_agent.service_account_name)
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/clusteragent/admission/controllers/webhook/controller_v1.go:90 in Run) | Starting webhook controller for secret default/webhook-certificate and webhook datadog-webhook - Using admissionregistration/v1
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/clusteragent/admission/controllers/secret/controller.go:78 in Run) | Starting secrets controller for default/webhook-certificate
2024-08-19 15:35:58 UTC | CLUSTER | WARN | (pkg/collector/corechecks/cluster/orchestrator/collector_bundle.go:179 in addCollectorFromConfig) | check:orchestrator | collector nodes has already been added
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:83 in func1) | Sync done for informer v1/pods in 292ns, last resource version: 4692
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:47 in func1) | Sync done for informer admissionregistration.k8s.io/v1/mutatingwebhookconfigurations in 100.066417ms, last resource version: 4631
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/clusteragent/admission/controllers/webhook/controller_v1.go:155 in reconcile) | The Webhook datadog-webhook was found, updating it
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:47 in func1) | Sync done for informer v1/secrets in 100.092291ms, last resource version: 4634
2024-08-19 15:35:59 UTC | CLUSTER | INFO | (subcommands/start/command.go:493 in start) | All components started. Cluster Agent now running.
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/clusteragent/admission/controllers/secret/controller.go:216 in reconcile) | The certificate is up-to-date, doing nothing. Duration before expiration: 8759h22m9.937535581s
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/clusteragent/admission/controllers/secret/controller.go:179 in processNextWorkItem) | Secret default/webhook-certificate reconciled successfully
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:83 in func1) | Sync done for informer rbac.authorization.k8s.io/v1/clusterroles in 100.048125ms, last resource version: 4687
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:83 in func1) | Sync done for informer rbac.authorization.k8s.io/v1/roles in 100.121958ms, last resource version: 4630
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:83 in func1) | Sync done for informer apps/v1/deployments in 100.071625ms, last resource version: 4659
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:83 in func1) | Sync done for informer apps/v1/daemonsets in 100.133958ms, last resource version: 4671
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:83 in func1) | Sync done for informer clusters in 100.131875ms, last resource version: 4629
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:83 in func1) | Sync done for informer rbac.authorization.k8s.io/v1/clusterrolebindings in 100.109708ms, last resource version: 4694
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:83 in func1) | Sync done for informer v1/serviceaccounts in 100.106167ms, last resource version: 4627
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:83 in func1) | Sync done for informer batch/v1/jobs in 100.104834ms, last resource version: 4672
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:83 in func1) | Sync done for informer rbac.authorization.k8s.io/v1/rolebindings in 100.124167ms, last resource version: 4687
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:83 in func1) | Sync done for informer v1/namespaces in 100.134833ms, last resource version: 4629
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:83 in func1) | Sync done for informer autoscaling/v2/horizontalpodautoscalers in 100.130333ms, last resource version: 4627
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:83 in func1) | Sync done for informer networking.k8s.io/v1/ingresses in 100.058334ms, last resource version: 4630
2024-08-19 15:35:59 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:83 in func1) | Sync done for informer batch/v1/cronjobs in 100.042791ms, last resource version: 4631
